Referencia,barcode,nombre,compra,venta,impuesto,categoria,modelo_funda,modelo_celular,color,inventario,Proveedores
magnetica_sam a10s_plateada,317,magnetica_sam a10s_plateada,,,000,Fundas,magnetica,sam a10s,plateada,1,
jordan madera_sam a10_madera,318,jordan madera_sam a10_madera,,,000,Fundas,jordan madera,sam a10,madera,2,
nike madera_sam a10_madera,319,nike madera_sam a10_madera,,,000,Fundas,nike madera,sam a10,madera,2,
holster_sam a10_negro,320,holster_sam a10_negro,,,000,Fundas,holster,sam a10,negro,2,
magnetica_sam a10_morado,321,magnetica_sam a10_morado,,,000,Fundas,magnetica,sam a10,morado,1,
magnetica_sam a11_rojo,322,magnetica_sam a11_rojo,,,000,Fundas,magnetica,sam a11,rojo,1,
magnetica_sam a11_negro,323,magnetica_sam a11_negro,,,000,Fundas,magnetica,sam a11,negro,1,
space collection_sam a11_transparente,324,space collection_sam a11_transparente,,,000,Fundas,space collection,sam a11,transparente,2,
holster_sam a11_negro,325,holster_sam a11_negro,,,000,Fundas,holster,sam a11,negro,1,
nike madera_sam a11_madera,326,nike madera_sam a11_madera,,,000,Fundas,nike madera,sam a11,madera,2,
jordan madera_sam a11_madera,327,jordan madera_sam a11_madera,,,000,Fundas,jordan madera,sam a11,madera,2,
holster_sam a12_negro,328,holster_sam a12_negro,,,000,Fundas,holster,sam a12,negro,2,
macaron matte_sam a12_negro,329,macaron matte_sam a12_negro,,,000,Fundas,macaron matte,sam a12,negro,1,
holster_sam a13 5g_negro,330,holster_sam a13 5g_negro,,,000,Fundas,holster,sam a13 5g,negro,2,
case colors_sam a13 5g_negro,331,case colors_sam a13 5g_negro,,,000,Fundas,case colors,sam a13 5g,negro,1,
acrilico sencillo_sam a13 5g_transparente,332,acrilico sencillo_sam a13 5g_transparente,,,000,Fundas,acrilico sencillo,sam a13 5g,transparente,2,
case colors_sam a13 5g_rojo,333,case colors_sam a13 5g_rojo,,,000,Fundas,case colors,sam a13 5g,rojo,1,
macaron matte_sam a13 5g_morado,334,macaron matte_sam a13 5g_morado,,,000,Fundas,macaron matte,sam a13 5g,morado,1,
holster_sam a20s_negro,335,holster_sam a20s_negro,,,000,Fundas,holster,sam a20s,negro,2,
nike madera_sam a20s_madera,336,nike madera_sam a20s_madera,,,000,Fundas,nike madera,sam a20s,madera,2,
jordan madera_sam a20s_madera,337,jordan madera_sam a20s_madera,,,000,Fundas,jordan madera,sam a20s,madera,2,
space collection_sam a21s_transparente,338,space collection_sam a21s_transparente,,,000,Fundas,space collection,sam a21s,transparente,2,
jordan madera_sam a21s_madera,339,jordan madera_sam a21s_madera,,,000,Fundas,jordan madera,sam a21s,madera,2,
nike madera_sam a21s_madera,340,nike madera_sam a21s_madera,,,000,Fundas,nike madera,sam a21s,madera,1,
holster_sam a21_madera,341,holster_sam a21_madera,,,000,Fundas,holster,sam a21,madera,2,
jordan madera_sam a21_madera,342,jordan madera_sam a21_madera,,,000,Fundas,jordan madera,sam a21,madera,2,
space collection_sam a21_transparente,343,space collection_sam a21_transparente,,,000,Fundas,space collection,sam a21,transparente,2,
nike madera_sam a50s/30s_madera,344,nike madera_sam a50s/30s_madera,,,000,Fundas,nike madera,sam a50s/30s,madera,2,
jordan madera_sam a50s/30s_madera,345,jordan madera_sam a50s/30s_madera,,,000,Fundas,jordan madera,sam a50s/30s,madera,2,
holster_sam a50s/30s_negro,346,holster_sam a50s/30s_negro,,,000,Fundas,holster,sam a50s/30s,negro,2,
holster_sam a22 5g_negro,347,holster_sam a22 5g_negro,,,000,Fundas,holster,sam a22 5g,negro,2,
holster_sam a224g_negro,348,holster_sam a224g_negro,,,000,Fundas,holster,sam a224g,negro,2,
space collection_sam a22 4g_transparente,349,space collection_sam a22 4g_transparente,,,000,Fundas,space collection,sam a22 4g,transparente,1,
guess_sam a22 4g_blanco,350,guess_sam a22 4g_blanco,,,000,Fundas,guess,sam a22 4g,blanco,2,
calvinklein_sam a22 4g_negro,351,calvinklein_sam a22 4g_negro,,,000,Fundas,calvinklein,sam a22 4g,negro,2,
holster_sam a31_negro,352,holster_sam a31_negro,,,000,Fundas,holster,sam a31,negro,2,
space collection_sam a31_transparente,353,space collection_sam a31_transparente,,,000,Fundas,space collection,sam a31,transparente,2,
holster_sam j2 prime_negro,354,holster_sam j2 prime_negro,,,000,Fundas,holster,sam j2 prime,negro,4,
holster_sam j4 2018_negro,355,holster_sam j4 2018_negro,,,000,Fundas,holster,sam j4 2018,negro,2,
holster_Sam 4 plus core_negro,356,holster_Sam 4 plus core_negro,,,000,Fundas,holster,Sam 4 plus core,negro,2,
case colors_sam j7 2018_azul marino,357,case colors_sam j7 2018_azul marino,,,000,Fundas,case colors,sam j7 2018,azul marino,1,
case colors_sam j7 2018_rojo,358,case colors_sam j7 2018_rojo,,,000,Fundas,case colors,sam j7 2018,rojo,1,
case colors_sam j7 2018_rosa,359,case colors_sam j7 2018_rosa,,,000,Fundas,case colors,sam j7 2018,rosa,1,
holster_sam j7 2018_negro,360,holster_sam j7 2018_negro,,,000,Fundas,holster,sam j7 2018,negro,2,
holster_sam j8 2018_negro,361,holster_sam j8 2018_negro,,,000,Fundas,holster,sam j8 2018,negro,2,
holster_sam j7 prime_negro,362,holster_sam j7 prime_negro,,,000,Fundas,holster,sam j7 prime,negro,2,
nike madera_sam a52_madera,363,nike madera_sam a52_madera,,,000,Fundas,nike madera,sam a52,madera,2,
jordan madera_sam a52_madera,364,jordan madera_sam a52_madera,,,000,Fundas,jordan madera,sam a52,madera,2,
guess_sam a52_blanco,365,guess_sam a52_blanco,,,000,Fundas,guess,sam a52,blanco,2,
calvinklein_sam a52_negro,366,calvinklein_sam a52_negro,,,000,Fundas,calvinklein,sam a52,negro,1,
holster_sam a02_negro,367,holster_sam a02_negro,,,000,Fundas,holster,sam a02,negro,1,
calvinklein_sam a02_nero,368,calvinklein_sam a02_nero,,,000,Fundas,calvinklein,sam a02,nero,2,
guess_sam a02_blanco,369,guess_sam a02_blanco,,,000,Fundas,guess,sam a02,blanco,2,
nike madera_sam a51/m4os/a31   madera_,370,nike madera_sam a51/m4os/a31   madera_,,,000,Fundas,nike madera,sam a51/m4os/a31   madera,,2,
jordan madera_sam a51/m4os/a31   madera_,371,jordan madera_sam a51/m4os/a31   madera_,,,000,Fundas,jordan madera,sam a51/m4os/a31   madera,,2,
nike madera_sam a10s/m01s_madera,372,nike madera_sam a10s/m01s_madera,,,000,Fundas,nike madera,sam a10s/m01s,madera,2,
guess_sam a50_blanco,373,guess_sam a50_blanco,,,000,Fundas,guess,sam a50,blanco,1,
calvinklein_sam a50_negro,374,calvinklein_sam a50_negro,,,000,Fundas,calvinklein,sam a50,negro,2,
space collection_sam a50_transparente,375,space collection_sam a50_transparente,,,000,Fundas,space collection,sam a50,transparente,2,
guess_Sam a51 4g_blanco,376,guess_Sam a51 4g_blanco,,,000,Fundas,guess,Sam a51 4g,blanco,2,
calvinklein_sam a51 4g_negro,377,calvinklein_sam a51 4g_negro,,,000,Fundas,calvinklein,sam a51 4g,negro,2,
space collection_sam a51 4g_transparente,378,space collection_sam a51 4g_transparente,,,000,Fundas,space collection,sam a51 4g,transparente,2,
case colors_sam j6_azul marino,379,case colors_sam j6_azul marino,,,000,Fundas,case colors,sam j6,azul marino,2,
case colors_sam j6_rosa,380,case colors_sam j6_rosa,,,000,Fundas,case colors,sam j6,rosa,1,
guess_sam a71 4g_blanco,381,guess_sam a71 4g_blanco,,,000,Fundas,guess,sam a71 4g,blanco,2,
calvinklein_sam a71 4g_negro,382,calvinklein_sam a71 4g_negro,,,000,Fundas,calvinklein,sam a71 4g,negro,2,
space collection_Sam 520 plus_transparente,383,space collection_Sam 520 plus_transparente,,,000,Fundas,space collection,Sam 520 plus,transparente,1,
cartera _universal_rosa,384,cartera _universal_rosa,,,000,Fundas,cartera ,universal,rosa,2,
cartera _universal_negro,385,cartera _universal_negro,,,000,Fundas,cartera ,universal,negro,2,
cartera _universal_colores,386,cartera _universal_colores,,,000,Fundas,cartera ,universal,colores,1,
funda universal_4.5-5.1_negro,387,funda universal_4.5-5.1_negro,,,000,Fundas,funda universal,4.5-5.1,negro,5,
funda universal_5.2-5.5_negro,388,funda universal_5.2-5.5_negro,,,000,Fundas,funda universal,5.2-5.5,negro,5,
funda universal_5.7-6.3_negro,389,funda universal_5.7-6.3_negro,,,000,Fundas,funda universal,5.7-6.3,negro,5,
holster_hw p30 lite_negro,390,holster_hw p30 lite_negro,,,000,Fundas,holster,hw p30 lite,negro,2,
holster_hw p40_negro,391,holster_hw p40_negro,,,000,Fundas,holster,hw p40,negro,4,
holster_Hw Y9 2019_negro,392,holster_Hw Y9 2019_negro,,,000,Fundas,holster,Hw Y9 2019,negro,2,
calvinklein_Hw Y9 2019_negro,393,calvinklein_Hw Y9 2019_negro,,,000,Fundas,calvinklein,Hw Y9 2019,negro,1,
calvinklein_Hw Y9 2019_blanco,394,calvinklein_Hw Y9 2019_blanco,,,000,Fundas,calvinklein,Hw Y9 2019,blanco,2,
holster_hw m20 lite_negro,395,holster_hw m20 lite_negro,,,000,Fundas,holster,hw m20 lite,negro,2,
holster_Hw nova 8i_negro,396,holster_Hw nova 8i_negro,,,000,Fundas,holster,Hw nova 8i,negro,2,
holster_Hw Nova 9/50 5g_ negro,397,holster_Hw Nova 9/50 5g_ negro,,,000,Fundas,holster,Hw Nova 9/50 5g, negro,2,
holster_hw mate 20 lite_negro,398,holster_hw mate 20 lite_negro,,,000,Fundas,holster,hw mate 20 lite,negro,1,
holster_Hw Nova 8_negro,399,holster_Hw Nova 8_negro,,,000,Fundas,holster,Hw Nova 8,negro,2,
silicone cover_Hw p smart 2019_naranja,400,silicone cover_Hw p smart 2019_naranja,,,000,Fundas,silicone cover,Hw p smart 2019,naranja,2,
silicone cover_Hw p smart 2019 rosa_rosa,401,silicone cover_Hw p smart 2019 rosa_rosa,,,000,Fundas,silicone cover,Hw p smart 2019 rosa,rosa,1,
space collection_hw p30 pro_transparente,402,space collection_hw p30 pro_transparente,,,000,Fundas,space collection,hw p30 pro,transparente,2,
silicone cover_hw p 30_rosa,403,silicone cover_hw p 30_rosa,,,000,Fundas,silicone cover,hw p 30,rosa,1,
silicone cover_hw p30 _naranja,404,silicone cover_hw p30 _naranja,,,000,Fundas,silicone cover,hw p30 ,naranja,2,
calvinklein_hw y9 prime_blanco,405,calvinklein_hw y9 prime_blanco,,,000,Fundas,calvinklein,hw y9 prime,blanco,2,
holster_hw y9 prime_negro,406,holster_hw y9 prime_negro,,,000,Fundas,holster,hw y9 prime,negro,2,
guess_hw y9 prime_negro,407,guess_hw y9 prime_negro,,,000,Fundas,guess,hw y9 prime,negro,2,
holster_hw y6s_negro,408,holster_hw y6s_negro,,,000,Fundas,holster,hw y6s,negro,2,
holster_hw y9s_negro,409,holster_hw y9s_negro,,,000,Fundas,holster,hw y9s,negro,2,
holster_hw y9 2018_negro,410,holster_hw y9 2018_negro,,,000,Fundas,holster,hw y9 2018,negro,2,
holster_hw y7 pro_negro,411,holster_hw y7 pro_negro,,,000,Fundas,holster,hw y7 pro,negro,2,
superstar_hw y9a_negro,412,superstar_hw y9a_negro,,,000,Fundas,superstar,hw y9a,negro,1,
superstar_hw y9a_rosa,413,superstar_hw y9a_rosa,,,000,Fundas,superstar,hw y9a,rosa,1,
holster_hw y9a_negro ,414,holster_hw y9a_negro ,,,000,Fundas,holster,hw y9a,negro ,2,
guess_hw y9a_negro,415,guess_hw y9a_negro,,,000,Fundas,guess,hw y9a,negro,1,
case cute_hw y9a_rosa,416,case cute_hw y9a_rosa,,,000,Fundas,case cute,hw y9a,rosa,1,
case cute_hw y9a_morado,417,case cute_hw y9a_morado,,,000,Fundas,case cute,hw y9a,morado,1,
silicone cover_hw nova 3i_rosa,418,silicone cover_hw nova 3i_rosa,,,000,Fundas,silicone cover,hw nova 3i,rosa,1,
silicone cover_hw nova 3i_gris,419,silicone cover_hw nova 3i_gris,,,000,Fundas,silicone cover,hw nova 3i,gris,1,
silicone cover_hw nova 3i_negro,420,silicone cover_hw nova 3i_negro,,,000,Fundas,silicone cover,hw nova 3i,negro,1,
space collection_hw y6p_transparente,421,space collection_hw y6p_transparente,,,000,Fundas,space collection,hw y6p,transparente,2,
case cute_hw y6p_rosa,422,case cute_hw y6p_rosa,,,000,Fundas,case cute,hw y6p,rosa,3,
nike madera_hw p30 _madera,423,nike madera_hw p30 _madera,,,000,Fundas,nike madera,hw p30 ,madera,2,
case cute_hw y7p 2020_rosa,424,case cute_hw y7p 2020_rosa,,,000,Fundas,case cute,hw y7p 2020,rosa,3,
space collection_hw y6p 2020_transparente,425,space collection_hw y6p 2020_transparente,,,000,Fundas,space collection,hw y6p 2020,transparente,2,
case cute_hw y6p 2020_rosa,426,case cute_hw y6p 2020_rosa,,,000,Fundas,case cute,hw y6p 2020,rosa,3,
case cute_hw y7a_rosa,427,case cute_hw y7a_rosa,,,000,Fundas,case cute,hw y7a,rosa,1,
case cute _hw y7a_azul,428,case cute _hw y7a_azul,,,000,Fundas,case cute ,hw y7a,azul,0,
case cute_hw y7a_gris,429,case cute_hw y7a_gris,,,000,Fundas,case cute,hw y7a,gris,1,
silicone cover_hw y7 2019_menta,430,silicone cover_hw y7 2019_menta,,,000,Fundas,silicone cover,hw y7 2019,menta,1,
silicone cover_hw y7 2019_rosa,431,silicone cover_hw y7 2019_rosa,,,000,Fundas,silicone cover,hw y7 2019,rosa,1,
silicone cover_hw y7 2019_naranja,432,silicone cover_hw y7 2019_naranja,,,000,Fundas,silicone cover,hw y7 2019,naranja,1,
space collection_hw y8p_transparente,433,space collection_hw y8p_transparente,,,000,Fundas,space collection,hw y8p,transparente,2,
space collection_Hw 40 pro_transparente,434,space collection_Hw 40 pro_transparente,,,000,Fundas,space collection,Hw 40 pro,transparente,2,
space collection_hw p40 lite_transparente,435,space collection_hw p40 lite_transparente,,,000,Fundas,space collection,hw p40 lite,transparente,2,
holster_hw y7 2018_negro,436,holster_hw y7 2018_negro,,,000,Fundas,holster,hw y7 2018,negro,2,
alto impacto_Xm 12 pro_negro,437,alto impacto_Xm 12 pro_negro,,,000,Fundas,alto impacto,Xm 12 pro,negro,1,
alto impacto_Xm 12/12x_azul marino,438,alto impacto_Xm 12/12x_azul marino,,,000,Fundas,alto impacto,Xm 12/12x,azul marino,1,
space collection_hw y9 prime_transparente,439,space collection_hw y9 prime_transparente,,,000,Fundas,space collection,hw y9 prime,transparente,2,
space collection_hw p smart 2020 transparente_,440,space collection_hw p smart 2020 transparente_,,,000,Fundas,space collection,hw p smart 2020 transparente,,2,
holster_xm redmi 9a_negro,441,holster_xm redmi 9a_negro,,,000,Fundas,holster,xm redmi 9a,negro,1,
macaron matte_xm reno 6lite/a74   negro_,442,macaron matte_xm reno 6lite/a74   negro_,,,000,Fundas,macaron matte,xm reno 6lite/a74   negro,,1,
holster_xm redmi 9c_negro,443,holster_xm redmi 9c_negro,,,000,Fundas,holster,xm redmi 9c,negro,2,
alto impacto_xm note 11 pro_azul marino,444,alto impacto_xm note 11 pro_azul marino,,,000,Fundas,alto impacto,xm note 11 pro,azul marino,1,
alto impacto_xm note 11 pro_rojo,445,alto impacto_xm note 11 pro_rojo,,,000,Fundas,alto impacto,xm note 11 pro,rojo,1,
macaron matte_xm note 11 pro_morado,446,macaron matte_xm note 11 pro_morado,,,000,Fundas,macaron matte,xm note 11 pro,morado,1,
alto impacto_xm red 10c 4g_rojo,447,alto impacto_xm red 10c 4g_rojo,,,000,Fundas,alto impacto,xm red 10c 4g,rojo,2,
case cute_hw y9a_transparente,448,case cute_hw y9a_transparente,,,000,Fundas,case cute,hw y9a,transparente,1,
guess_hw y9a_negro,449,guess_hw y9a_negro,,,000,Fundas,guess,hw y9a,negro,1,
calvinklein_hw y9a_blanco,450,calvinklein_hw y9a_blanco,,,000,Fundas,calvinklein,hw y9a,blanco,1,
